kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 82932,5
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 28255,1953125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 28953,021484375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 29746,267578125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 29658,3984375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 29356,41796875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 29109,17578125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 27673,427734375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 28475,814453125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 29020,08203125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 27833,46875
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 54473,3515625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 55288,390625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 55406,4609375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 54388,28515625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 48130,13671875
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 55273,8984375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 55346,1875
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 51101,8203125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 51695,890625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 49125,859375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 85022,9375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 74815,3125
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 85219,546875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 70115,1640625
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 85172,171875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 83835,6640625
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 85613,8984375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 88543,5859375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 77344,140625
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 79733,3203125
