kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21294.39453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.443359375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21294.390625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.44140625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21294.392578125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.4375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.4453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21307.41796875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21294.392578125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.443359375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.4375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7843.94970703125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7802.41943359375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7300.83056640625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7646.06201171875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7664.8330078125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7455.23291015625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7666.59814453125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7930.03271484375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7668.69140625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7819.7978515625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6595.37255859375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6578.3662109375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6556.0751953125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6580.34423828125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6553.1015625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6600.34326171875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6614.7392578125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6629.60498046875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6562.01611328125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6595.96142578125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6553.79541015625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6589.64404296875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6576.263671875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6576.26318359375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6553.1015625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6579.90478515625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6564.59130859375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6595.5146484375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6591.37646484375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 6530.90087890625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6566.4140625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6564.82568359375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6563.16162109375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6530.900390625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6584.0615234375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6530.89990234375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6552.2958984375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6530.90087890625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6576.26318359375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 6552.29541015625
