ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13619,951171875
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13720,03515625
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13039,734375
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13208,0986328125
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13185,8154296875
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12708,5703125
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13634,806640625
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13374,5576171875
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13038,880859375
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12629,345703125
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13345,501953125
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14455,6982421875
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13023,90625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14308,900390625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13276,927734375
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14253,9921875
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14069,8603515625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13935,09765625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14004,0185546875
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13750,9287109375
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13679,3544921875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14830,4111328125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13920,2841796875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15260,9267578125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15496,48828125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15157,5205078125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14228,48046875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15033,20703125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15199,052734375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14733,1953125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14179,30078125
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 11774,275390625
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13220,146484375
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12077,6953125
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12780,1005859375
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12867,8955078125
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12645,3232421875
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13272,015625
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13511,1240234375
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12569,5625
ch150; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13622,677734375
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12623,7958984375
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13412,3115234375
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12861,44140625
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13299,451171875
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13960,044921875
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13146,89453125
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13133,15234375
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 12897,505859375
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13242,9326171875
ch150; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13184,0400390625
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 16253,9658203125
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14114,017578125
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15046,1845703125
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15847,505859375
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14435,2392578125
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15179,337890625
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15315,470703125
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15505,361328125
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14959,8212890625
ch150; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 16146,7119140625
