berlin52; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8667,8544921875
berlin52; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8615,615234375
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8522,8955078125
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8438,9501953125
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8579,5947265625
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8044,5986328125
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8548,6455078125
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8293,9560546875
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8310,5947265625
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8296,3642578125
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8581,0224609375
berlin52; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 9002,1533203125
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8093,6396484375
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8673,37109375
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8277,7490234375
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8102,0361328125
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8106,81591796875
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8384,50390625
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8166,05810546875
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8194,6630859375
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8746,619140625
berlin52; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 8219,939453125
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8264,5810546875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8391,951171875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8434,3896484375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8027,62255859375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8460,65625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8306,244140625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8405,775390625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8554,140625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8168,0595703125
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8072,619140625
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8511,298828125
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8937,5908203125
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8033,7734375
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7990,765625
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8807,7158203125
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8558,21484375
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8766,7314453125
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8311,3486328125
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8402,09375
berlin52; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8757,708984375
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8212,7119140625
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8346,7783203125
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8139,7421875
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8692,2060546875
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8589,2890625
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8562,8427734375
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8270,849609375
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8404,0732421875
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8509,1806640625
berlin52; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8559,447265625
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8399,6005859375
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8370,1728515625
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8689,041015625
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8324,390625
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8417,587890625
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8757,9111328125
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8254,0908203125
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8348,3798828125
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8843,583984375
berlin52; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8537,3037109375
