berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 15556,255859375
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 15969,3095703125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8472,5478515625
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8582,81640625
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8233,552734375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 7951,189453125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8098,9609375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8737,8369140625
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8377,0263671875
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 7935,16943359375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8225,5986328125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 8387,36328125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 9986,619140625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 9951,3359375
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 11043,4208984375
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 10544,1845703125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 10542,9609375
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 10187,5693359375
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 10929,84765625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 10760,759765625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 10659,259765625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 11252,603515625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 16839,634765625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 17227,904296875
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 13629,2646484375
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 15489,4306640625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 14316,662109375
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 13036,5751953125
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 14671,8369140625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 13500,1123046875
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 15208,4375
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 14143,8779296875
